09/07/21,0.125,0.00
09/01/22,0.563,0.00
09/07/22,0.563,0.00
09/01/23,0.750,0.00
09/07/23,0.750,0.00
09/01/24,1.813,0.00
09/07/24,1.813,0.00
09/01/25,2.063,0.00
09/07/25,2.063,0.00
09/01/26,2.063,0.00
09/07/26,2.063,0.00
09/01/27,2.063,0.00
09/07/27,2.063,0.00
09/01/28,2.375,0.00
09/07/28,2.375,0.00
09/01/29,2.50,0.00
09/07/29,2.50,0.00
09/01/30,2.50,0.00
09/07/30,2.50,0.00
09/01/31,2.50,10.00
09/07/31,2.25,10.00
09/01/32,2.00,10.00
09/07/32,1.75,10.00
09/01/33,1.50,10.00
09/07/33,1.25,10.00
09/01/34,1.00,10.00
09/07/34,0.75,10.00
09/01/35,0.50,10.00
09/07/35,0.25,10.00
