09/07/21,0.11,0.00
09/01/22,1.25,0.00
09/07/22,1.25,0.00
09/01/23,1.75,0.00
09/07/23,1.75,0.00
09/01/24,1.75,0.00
09/07/24,1.75,0.00
09/01/25,1.75,0.00
09/07/25,1.75,0.00
09/01/26,1.75,0.00
09/07/26,1.75,0.00
09/01/27,1.75,0.00
09/07/27,1.75,0.00
09/01/28,1.75,3.57
09/07/28,1.69,3.57
09/01/29,1.63,3.57
09/07/29,1.56,3.57
09/01/30,2.09,3.57
09/07/30,2.20,3.57
09/01/31,1.92,3.57
09/07/31,1.83,3.57
09/01/32,1.74,3.57
09/07/32,1.65,3.57
09/01/33,1.57,3.57
09/07/33,1.48,3.57
09/01/34,1.39,3.57
09/07/34,1.31,3.57
09/01/35,1.22,3.57
09/07/35,1.13,3.57
09/01/36,1.04,3.57
09/07/36,0.96,3.57
09/01/37,0.87,3.57
09/07/37,0.78,3.57
09/01/38,0.70,3.57
09/07/38,0.61,3.57
09/01/39,0.52,3.57
09/07/39,0.44,3.57
09/01/40,0.35,3.57
09/07/40,0.26,3.57
09/01/41,0.17,3.57
09/07/41,0.09,3.61
